Card#,Title,Artist,Year,SpotifyURL
139,Die Monster AG,Randy Newman,2001,https://open.spotify.com/track/3HuuFArtOORnfmrWubhlKf
140,Django Unchained (Django),"Luis Bacalov, Rocky Roberts",2012,https://open.spotify.com/track/008wXvCVu8W8vCbq5VQDlC
141,Emily in Paris (Mon Soleil),Ashley Park,2020,https://open.spotify.com/track/3jJ9djWzDlQnqDd7vTZs9K
142,Rocky (Gonna Fly Now),Bill Conti,1976,https://open.spotify.com/track/7iXYRR70wewzVYzWScm99j
143,The Last of Us,Gustavo Santaolalla,2023,https://open.spotify.com/track/285ieonEuLkll3zknYK2TY
144,Die Muppet Show (Mah Na Mah Na),The Snowths,1976,https://open.spotify.com/track/1d2Qjevtnt0sVf1RkTzT9M
145,Star Trek,Jerry Goldsmith,1979,https://open.spotify.com/track/43B5NwirruWiXQi5V1LaOd
146,Bridget Jones - Schokolade zum Frühstück (Out Of Reach),GABRIELLE,2001,https://open.spotify.com/track/5qG6PFEPyPtSSJUi0mrnm5
147,Ghostbusters,Ray Parker Jr.,1984,https://open.spotify.com/track/3m0y8qLoznUYi73SUBP8GI
148,Vom Winde verweht,Max Steiner,1939,https://open.spotify.com/track/7c8agJG9NDxUH8xycPaPez
149,Starsky & Hutch (Gotcha),Tom Scott,1975,https://open.spotify.com/track/6TgUmUgpfE2b6g9HcgHulQ
150,"Was gibt's Neues, Pussy? (What's New Pussycat?)",Tom Jones,1965,https://open.spotify.com/track/6DTDGKWD52tOtpFcRKwqOW
151,Die Waffen der Frauen (Let The River Run),Carly Simon,1988,https://open.spotify.com/track/2R7Bg8CbvJDmfiSRZ0qgOh
152,Mord ist ihr Hobby,John Addison,1984,https://open.spotify.com/track/1KtIWPcPy9Mdpl0WUuldWg
153,Spirit - Der wilde Mustang (Here I Am),Bryan Adams,2002,https://open.spotify.com/track/6QWniaitONimLqysaA6cwe
154,High School Musical (We're All In This Together),High School Musical Cast,2006,https://open.spotify.com/track/5t5LFepMdws4nudg1EiWdd
